I have a headache.	Masakit ulo ko.
Pseudogene Pseudogene or non-vomiting DNA adds additional DNA to genome that does not transcend to RNA to synthesize proteins.	Mga pseudogene Ang mga pseudogene o hindi nagkokodigong DNA ang mga karagdagang DNA sa genome na hindi nata-transkriba tungo sa RNA upang magsynthesize ng mga protina.
Some of these non-venomous DNAs may have several uses but most of them are useless and are called "DNA waste".	Ang ilan sa mga hindi nagkokodigong DNA na ito ay maaaring may ilang mga silbi ngunit ang karamihan sa mga ito ay walang silbi at tinatawag na "basurang DNA".
This is an example, of a vestige because the infiltration of these genes uses energy that makes it a waste of many cases.	Ito ay isang halimbawa, ng isang vestige dahil ang parereplika ng mga gene na ito ay gumagamit ng enerhiya na gumagawa ritong pagsasayang sa maraming mga kaso.
Waste DNA generates 98% of the human genome while the amount of DNA generates only 2% of the human genome.	Ang mga basurang DNA ay bumubuo ng 98% ng genome ng tao samantalang ang may silbing DNA ay bumubuo lamang ng 2% ng genome ng tao.
A pseudogene can be created when a genetically modified gene collects mutations that prevent it from translating that makes it useless.	Ang isang pseudogene ay malilikha kapag ang isang nagkokodigong gene ay nagtitipon ng mga mutasyon na nagpipigil ritong matranskriba na gumagawa ritong walang silbi.
But because it does not transcribe, it has no effect on the organism.	Ngunit dahil hindi ito natatranskriba, ito ay walang epekto sa organismo.
The shared sequences of inanimate DNA are a fundamental evidence for common ancestors between organisms.	Ang mga pinagsasaluhang mga sekwensiya ng mga hindi gumaganang DNA ay isang pangunahing ebidensiya para sa karaniwang ninuno sa pagitan ng mga organismo.
Artificial selection Darwin discusses the artificial selection as a natural selection model in 1859 in the first edition of his book On the Origin of Species :.	Artipisyal na seleksiyon Tinalakay ni Darwin ang artipisyal na seleksiyon bilang isang modelo ng natural na seleksiyon noong 1859 sa unang edisyon ng kanyang aklat na On the Origin of Species:.
Charles Darwin lived at a time when animal husbandry and domesticated crops were very important.	Si Charles Darwin ay nabuhay sa panahon na ang pagsasaka ng hayop at mga domestikadong pananim ay napakahalaga.
In artificial selection, peasants engage or multiply the two animals or plants with special or desirable qualities and avoid populating animals or plants with a poor nature.	Sa artipisyal na seleksiyon, pinagtatalik o pinaparami ng mga magsasaka ang dalawang hayop o halaman na may espesyal o kanais nais na mga katangian at iniiwasang paramihin ang mga hayop o halaman na may hindi magandang katangian.
It is seen in agricultural development in the 18th to the 19th century and the artificial selection of lovable animals or plants is part of it.	Ito ay nakita sa pagsasakang agrikultural noong ika-18 hanggang ika-19 siglo at ang artipisyal na pagpipili ng magtatalik na mga hayop o halaman ay bahagi nito.
There is no real difference in the genetic process based on artificial and natural selection.	Walang tunay na pagkakaiba sa prosesong henetiko na pinagsasaligan ng artipisyal at natural na seleksiyon.
The practical difference is the rate or velocity of evolution in artificial selection that at least two orders of magnitude (or 100 times) faster than the rate seen in nature.	Ang pagkakaibang praktikal ang rate o bilis ng ebolusyon sa artipisyal na seleksiyon na kahit papaano ay dalawang order ng magnitudo(o 100 beses) na mas mabilis kesa sa rate na makikita sa kalikasan.
Evidence from observed changes through natural selection Bacteria Non-antibiotic bacteria Changes can quickly occur in smaller and simpler organisms.	Ebidensiya mula sa mga napagmasdang pagbabago sa pamamagitan ng natural na seleksiyon Bakterya Bakteryang hindi tinatalaban ng antibiyotiko Ang mga pagbabago ay mabilis na mangyayari sa mas maliit at simpleng mga organismo.
For example, some of the bacteria that cause the disease will no longer be extinguished with some antibiotics.	Halimbawa, ang ilan sa mga bakterya na nagsasanhi ng sakit ay hindi na mapapatay gamit ang ilang mga antibiyotiko.
These medications have been used for only 89 years and are initially extremely effective against these bacteria.	Ang mga medisinang ito ay ginagamit pa lamang sa loob ng 89 taon at sa simula ay sobrang epektibo laban sa mga bakteryang ito.
The bacteria have evolved so that they are no longer resistant to antibiotics.	Ang mga bakterya ay nag-ebolb upang ang mga ito ay hindi na talaban ng mga antibiyotiko.
However, antibiotics still kill most of the bacteria other than those with resistance to bacteria.	Gayunpaman, ang mga antibiyotiko ay nakakapatay pa rin ng karamihan sa mga bakterya maliban sa mga bakteryang nagkamit ng resistansiya.
E.coli Richard Lenski examined that some strains of E. coli evolved a complex new ability to metabolize citrate after about ten thousand generations.	E.coli Napagmasdan ni Richard Lenski na ang ilang mga strain ng E. coli ay nag-ebolb ng masalimuot na bagong kakayahan na mag-metabolisa ng citrate pagkatapos ng mga sampung mga libong henerasyon.
This new feature does not exist in all other forms of E. Coli including the first strain used here.	Ang bagong katangiang ito ay hindi umiiral sa lahat ng iba pang mag anyo ng E. Coli kabilang sa simulang strain na ginamit rito.
Nylon bakers Nylon bakter bacteria are a Flavobacterium strain that can digest some byproducts of nylon manufacturing 6.	Bakteryang kumakain ng nylon Ang bakteryang kumakain ng nylon ay isang strain ng Flavobacterium na makakapagdigest ng ilang mga byproduct ng manupakturang nylon 6.
This substance did not know existed before the nylon invention in 1935.	Ang nga substansiyang ito ay hindi alam na umiral bago ang imbensiyon ng nylon noong 1935.
Further studies have revealed that the three enzymes used by bacteria to isolate nylon byproducts are substantially different from other enzymes produced by other strains of Flavobacterium or other bacteria.	Ang karagdagang pag-aaral ay naghayag na ang mga tatlong enzyme na ginagamit ng bakteriya upang idigest ang mga byproduct ng nylon ay malaking iba mula sa ibang mga enzyme na nililikha ng ibang mga strain na Flavobacterium o iba pang mga bakterya.
These enzymes are ineffective in any material except the by-products of the nylon man-made.	Ang mga enzyme na ito ay hindi epektibo sa mga anumang materyal maliban sa mga byproduct ng ginawa ng tao na nylon.
Laboratory scientists also examined the rejuvenation of this same ability to emit nylon byproducts in Pseudomonas aeruginosa placed in an environment with no other nutrient resources.	Napagmasdan rin ng mga siyentipiko sa laboratoryo ang pag-eebolb ng parehong kakayahang ito na makapagdigest ng mga byproduct ng nylon sa Pseudomonas aeruginosa na inilagay sa isang kapaligiran na walang mga ibang mapagkukunan ng nutriyento.
The P. aeruginosa strain does not use the same enzymes used by the Flavobacterium strain.	Ang strain na P. aeruginosa ay hindi gumamit ng parehong mga enzyme na ginagamit ng strain na Flavobacterium.
Other scientists have also been able to move to create the ability to create nylon enzyme from strain Flavobacterium to the strain of E. coli bacteria by transferring plasmids.	Nagawa rin ng ibang mga siyentipiko na mailipat ang kakayahang lumikha ng mga enzyme na nagdidigest ng nylon mula sa strain Flavobacterium papunta sa strain ng bakteryang E. coli sa pamamagitan ng paglilipat ng plasmid.
According to scientists, this ability to synthesize nylonase is most likely to develop as a mutation step that has continued due to the improved bacterial adaptation that claims this mutation.	Ayon sa mga siyentipiko, ang kakayahang ito na magsynthesize ng nylonase ay pinakamalamang na umunlad bilang isang hakbang na mutasyon na nakapagpatuloy dahil sa napabuting pag-aangkop ng bakterya na nag-angkin ng mutasyon na ito.
Mosquitoes DDT is not resistant to various types of mosquito Anopheles mosquitoes.	Lamok Lumitaw ang pagiging hindi tinatalaban ng DDT sa iba't ibang mga uri ng mga lamok na Anopheles mosquitoes.
Rabbit Appearance of myxomatosis in rabbit population in Australia appears.	Kuneho Lumitaw ang pagiging hindi tinatalaban ng myxomatosis sa mga populasyon ng kuneho sa Australia.
Beetle Colorado beetles are known for their inability to pesticide.	Beetle Ang mga Colorado beetle ay kilala sa kakayahann nitong hindi talaban ng mga pesticide.
For 50 years, it has been resistant to 52 chemical compounds used in insecticides including cyanide.	Sa loob ng 50 taon, ito ay naging hindi tinatalaban ng 52 kompuwestong kimikal na ginagamit sa mga insecticide kabilang ang cyanide.
This natural selection has been accelerated by artificial conditions.	Ang natural na seleksiyon na ito ay pinabilis ng mga artipisyal na kondisyon.
However, some beetle populations are resistant to each of these chemicals.	Gayunpaman, ang ilang populasyon ng beetle ay tinatalaban sa bawat kemikal na ito.
The populations have become less resistant to the chemicals used in their environment.	Ang mga populasyon ay naging hindi tinatalaban lamang sa kemikal na ginagamit sa kapaligiran ng mga ito.
Fluid Studies in the United States show that flush flies inflicted by orange grove are becoming less resistant to malathionary pesticides used to kill them.	Langaw Naipakita ng mga pag-aaral sa Estados Unidos, na ang mga langaw pamprutas na namemeste ng mga orange grove ay nagiging hindi tinatalaban ng malathion na pesticide na ginagamit upang patayin sila.
Diamondback moth In Hawaii, Japan and Tennessee, the diamondback moths have been bombarded with Bacillus thuringiensis being used in biological pesticides after about three years of use.	Diamondback moth Sa Hawaii, Japan at Tennessee, ang diamondback moth ay nagebolb ng hindi pagiging tinatalaban sa Bacillus thuringiensis na ginagamit na biolohikal na pesticide pagkatapos ng mga tatlong taon na gamitin ito.
Mats In England, rats in some areas have become poisonous for mice that they have eaten as much as five times the normal rat without dying.	Daga Sa Inglatera, ang mga daga sa ilang lugar ay nag-ebolb ng pagiging hindi tinatalaban ng lason para sa daga na nagawa nilang kainin ng kasing rami ng limang beses sa normal na daga nang hindi namamatay.
Amaranthus palmeri In the southern United States, the weed Amaranthus palmeri that prevents the production of blueberry has evolved a wide range of herbicide glyphosate resistance.	Amaranthus palmeri Sa katimugang Estados Unidos, ang weed na Amaranthus palmeri na humahadlang sa produksiyon ng bulak ay nag-ebolb ng malawakang resistansiya sa herbicide na glyphosate.
Tomcod After General Electric's disposal of polychlorinated biphenyls (PCBs) on the Hudson River from 1947 to 1976, tomcodes living in this river were found to have failed to formulate these chemical toxic effects.	Tomcod Pagkatapos nang pagtatapon ng General Electric ng mga polychlorinated biphenyls (PCB) sa Hudson River mula 1947 hanggang 1976, ang mga tomcod na nakatira sa ilog na ito ay natagpuang nag-ebolb ng hindi pagtalab sa mga epektong nakakalason ng kimikal na ito.
Initially, the tomcod population was destroyed but weathered.	Sa simula, ang populasyon ng tomcod ay nawasak ngunit nakaahon.
Scientists have identified the mutation that provided this ability without being tolerated.	Natukoy ng mga siyentipiko ang mutasyon na nagkaloob ng kakayahang ito nang paging hindi tinatalaban.
The form of mutation exists in 99 live tomcods in this river compared to less than 10 percent of tomcods from other waters.	Ang anyong mutasyon ay umiiral sa 99 ng mga nabubuhay na tomcod sa ilog na ito kumpara sa mas kaunti sa 10 porsiyento ng mga tomcod mula sa ibang mga katubigan.
Peppered moth A classic example of adaptation in response to natural selection is the case of peppered moth.	Peppered moth Ang isang klasikong halimbawa ng pag-aangkop bilang tugon sa pamamagitan ng natural na seleksiyon ang kaso ng peppered moth.
Before the industrial revolution, in England, the peppered moths found here were mostly brightly colored gray with few black spots.	Bago ang rebolusyong industriyal, sa Inglatera, ang mga peppered moth na makikita dito ay karamihang may kulay na maliwanag na gray na may kaunting mga itim na batik.
As a result, bright moth colors have been able to hide in lichen and bark of brightly colored trees and hide their bird's predators.	Dahil dito, nagawa ng mga kulay maliwanag na moth na makapagtago sa mga lichen at bark ng puno na kulay maliwanag rin at makapagtago sa mga predator nitong ibon.
The frequency of black allele of moth during this time is 0.01%.	Ang prekwensiya ng mga itim na allele ng moth sa panahong ito ay 0.01%.
During the early decades of industrial revolution in England, the countryside between London and Manchester was covered with black soot from coal-burning factories.	Noong mga maagang dekada ng rebolusyong industriyal sa Inglatera, ang countryside sa pagitan ng London at Manchester ay natakpan ng itim na soot mula sa mga pabrikang nagsusunog ng coal.
Many bright lichen colors die from sulfur dioxide emissions and the trees are covered with black soot.	Marami sa mga lichen na kulay maliwanag ay namatay mula sa mga emisyong sulphur dioxide at ang mga puno ay natakpan ng itim na soot.
This leads to increased bird food in moth colors evidently because it no longer can hide in black trees.	Ito ay humantong sa pagtaas ng pagkain ng mga ibon sa mga moth na kulay maliwanag dahil sa hindi na nito kayang makapagtago sa mga itim na puno.
On the other hand, black moths hide (camouflage) in black trees.	Sa kabilang dako, ang mga itim na moth ay nakapagtago(camouflage) sa mga itim na puno.
At the outset, although most moths of bright colors continue to multiply, most of them are not survived as black moths continue to grow.	Sa simula, bagaman ang karamihan ng mga moth na kulay maliwanag ay patuloy na nakakapagparami, ang karamihan sa kanila ay hindi nakaligtas samantalang ang mga moth na kulay itim ay patuloy na dumadami.
Over many generations, the allele's frequency gradually shifts to the black one that survives and multiplies.	Sa paglipas ng maraming mga henerasyon, ang prekwensiya ng allele ay unti unting lumilipat tungo sa kulay itim na nakakaligtas at nakakapagparami.
In the middle of the 19th century, the number of black moths increased and in 1895, the percentage of black moths in the population of the Manchester peppered moth was reported to be 98% a dramatic change of nearly 1000% from the original frequency.	Sa gitna ng ika-19 siglo, ang bilang ng mga moth na kulay itim ay tumaas at noong 1895, ang persentahe ng mga moth na kulay itim sa populasyon ng Manchester peppered moth ay iniulat na 98% na isang dramatikong pagbabago ng mga halos 1000% mula sa orihinal na prekwensiya.
The black color evolution in the population of peppered moths in industrialization was identified as industrial melanism.	Ang nag-ebolb na pagiging kulay itim sa populasyon ng mga peppered moth noong industriyalisasyon ay nakilala bilang industrial melanism.
Using genetic analysis, it was reported in 2011 that scientists have identified a mutation in an ancestry that led to the emergence and adaptation of black moths in the 1840s.	Gamit ang genetic analysis, iniulat noong 2011 na natukoy ng mga siyentipiko ang isang mutasyon sa isang ninuno na humantong paglitaw at pag-aangkop ng mga itim na moth noong mga 1840.
Radiotrophic fungus Radiotrophic fungi are fungi that use melanin pigment to combine gamma radiation into chemical energy for growth.	Radiotrophic fungus Ang Radiotrophic fungi ang fungi na gumagamit ng pigment na melanin upang ikomberte ang radyasyong gamma tungo sa enerhiyang kimikal para sa paglago.
It was first discovered in 2007 as black mold growing inside and around the Chernobyl Nuclear Power Plant.	Ito ay unang natuklasan noong 2007 bilang mga itim na mold na lumalago sa loob at palibot ng Chernobyl Nuclear Power Plant.
Research on the Albert Einstein College of Medicine shows that three contain melanin fungi that Cladosporium sphaerospermum, Wangiella dermatitidis, and Cryptococcus neoformans have risen to biomass and faster accumulation of acetate in the vicinity of the radiation level is 500 times more high in a normal environment.	Ang pagsasaliksik sa Albert Einstein College of Medicine ay nagpapakitang ang tatlong naglalaman ng melanin na fungi na Cladosporium sphaerospermum, Wangiella dermatitidis, at Cryptococcus neoformans ay tumaas sa biomassa at mas mabilis na nagtipon ng acetate sa kapiligiran na ang lebel ng radyasyon ay 500 beses na mas mataas kesa sa isang normal na kapaligiran.
Bird According to a March 2013 report, Cliff swallows (Petrochelidon pyrrhonota) have shorter shafts to survive on road vehicles.	Ibon Ayon sa isang ulat noong Marso 2013, ang mga Cliff swallows (Petrochelidon pyrrhonota) ay nag-ebolb ng mas maikling mga pakpak upang makaligtas sa mga sasakyan sa lansangan.
Person Natural selection occurs in modern human populations.	Tao Ang natural na seleksiyon ay nangyayari sa mga kasalukuyang modernong populasyon ng tao.
For example, the population at risk of severe illness has a very large representation of the form of the immune prion protein gene G127V than non-immune allele.	Halimbawa, ang populasyon na nanganganib sa malalang sakit na kuru ay may malaking sobrang representasyon ng anyo ng immune na prion protein gene G127V kesa sa hindi mga immune na allele.
The frequency of this mutation is caused by the survival of immune people.	Ang prekwensiya ng mutasyon na ito ay sanhi ng survival ng mga taong immune.
Other evolutionary directories in other human populations include the reproductive period, reduction in levels of cholesterol, blood glucose and blood pressure.	Ang ibang mga direksiyong pang-ebolusyon sa ibang mga populasyon ng tao ay kinabibilangan ng paghaba ng panahong reproduktibo, pagbawas sa mga lebel ng cholesterol, blood glucose at blood pressure.
Lactose intolerance is the inability of a person to lactose metabolism due to lack of necessary lactase enzyme in its dietary system.	Ang Lactose intolerance ang kawalang kakayahan sa isang tao na i-metabolisa ang lactose dahil sa kawalan ng kailangang enzyme na lactase sa sistemang dihestibo nito.
The normal condition of mammals is that one child of its species experiences decreased lactase production at the end of the weaning period.	Ang normal na kondisyon sa mga mammal ay ang isang bata ng species nito na makaranas ng nabawasang produksiyon ng lactase sa dulo ng panahong weaning.
In humans, lactase production drops about 90% during the first four years of its life although the exact downturn over time is different.	Sa mga tao, ang produksiyon ng lactase ay bumabagsak ng mga 90% sa tuwing unang apat na taon ng buhay nito bagaman ang eksaktong pagbagsak sa paglipas ng panahon ay iba iba.
Some human populations claim a mutation in chromosome 2 that eliminates the production of lactase production that makes these people continue to drink raw milk and other dairy products in their full range life.	Ang ilang mga populasyon ng tao ay nag-aangkin ng mutasyon sa kromosoma 2 na nag-aalis ng pagtigil ng produksiyon ng lactase na gumagawa sa mga taong ito na patuloy na makainom ng hilaw na gatas at iba pang mga permentadong mga produktong gatas sa kanilang buong buhay.
It is a recent evolutionary adaptation to some human population that happened independently in both northern Europe and East Africa to populated communities in the history of animal pasture.	Ito ay isang kamakailang pag-aangkop na ebolusyonaryo sa ilang populasyon ng tao na nangyari ng independiyente sa parehong hilagang Europa at silangang Aprika sa mga populasyong may pamumuhay sa kasaysayan ng pagpapastol ng mga hayop.
Evidence from the emergence of new species The speciation is the process of evolution of the emergence of new species.	Ebidensiya mula sa mga napagmasdang paglitaw ng bagong species Ang speciation ang proseso ng ebolusyon ng paglitaw ng mga bagong species.
Speciation may occur from various causes and are classified in different forms.	Ang speciation ay maaaring mangyari na mula sa iba't ibang mga sanhi at inuuri sa mga iba't ibang anyo nito.
allopatric, sympatric, polyploidization, etc.	allopatric, sympatric, polyploidization, etc.
Scientists have examined many examples of speciation in the laboratory and in nature.	Napagmasdan ng mga siyentipiko ang maraming mga halimbawa ng speciation sa laboratoryo at sa kalikasan.
Blackcap The species Sylvia atricapilla bird, better known as Blackcap, lives in Germany and flies west of Spain while a small group flew northwest of Great Britain during winter.	Blackcap Ang species ng ibon na Sylvia atricapilla na mas kilala bilang mga Blackcap ay nakatira sa Alemanya at lumilipad patimog-kanluran sa Espanya samantalang ang isang maliit na pangkat nito ay lumilipad pahilagang-kanluran sa Gran Britanya tuwing taglamig.
Gregor Rolshausen from the University of Freiburg found that gene separation of two populations of the same species is developing.	Natagpuan ni Gregor Rolshausen mula sa University of Freiburg na ang paghihiwalay sa gene ng dalawang mga populasyon ng parehong species ay umuunlad na.
The differences are found within 30 generations.	Ang mga pagkakaiba ay natagpuang lumitaw sa loob ng mga 30 henerasyon.
In DNA exhaustion, individuals can be identified in this group of 85% accuracy group.	Sa pagsisikwensiya ng DNA, ang mga indibidwal ay matutukoy sa kinabibilangang pangkat ng species na ito na may akurasyang 85%.
According to Stuart Bearhop of the University of Exeter, birds flying every winter in England only interact with themselves and during the winter flying in the Mediterranean.	Ayon kay Stuart Bearhop ng University of Exeter, ang mga ibon na lumilipad tuwing taglamig sa Inglatera ay nakikipagtalik lamang sa mga sarili nito at sa mga lumilipad tuwing taglamig sa Mediterranean.
Drosophila melanogaster The documented new species came from experimental laboratories in the 1980s.	Drosophila melanogaster Ang pina-dokumentadong bagong espesye ay nagmula sa mga eksperimentong laboratoryo noong mga 1980.
William Rice and G.Wall	Ipinagtalik nina William Rice at G.W.
Salt the dolphins Drosophila melanogaster using the maze with three different options like light / dark and wet / dry.	Salt ang mga langaw pamprutas na Drosophila melanogaster gamit ang maze na may tatlong iba't ibang mapagpipilian gaya ng liwanag/dilim at basa/tuyo.
Each generation was placed in a maze and the flies group that came out of two of eight exits was isolated to engage in their respected groups.	Ang bawat henerasyon ay inilagay sa maze at ang mga grupo ng langaw na lumabas sa dalawa sa walong labasan ay inihiwalay upang makipagtalik sa kanilang mga respektibong grupo.
After thirty-five generations, the two groups and their offspring were sexually isolated because of their strong habitat or environment preference.	Pagkatapos ng tatlumput-limang henerasyon, ang dalawang mga grupo at ang mga supling nito ay inihiwalay sa pakikipagtalik dahil sa kanilang malakas na preperensiya ng habitat o kapaligiran.
They only interact with the environments they prefer and do not interact with flies that are different to the environment they prefer.	Ang mga ito ay nakipagtalik lamang sa mga kapaligiran na kanilang gusto at hindi nakipagtalik sa mga langaw na iba ang kapaligiran na gusto.
Diane Dodd also showed that reproductive discharge was developed from the prevalence of swelling Drosophila pseudoobscura after only eight generations using different types of food, starch and maltose.	Naipakita rin ni Diane Dodd na ang paghihilaway reproduktibo ay mabubuo mula sa preperensiya ng pakikipagtalik sa langaw na Drosophila pseudoobscura pagkatapos lamang ng walong mga henerasyon gamit ang iba't ibang uri ng pagkain, starch at maltose.
Hawthorn Flies The fly hawthorn Rhagoletis pomonella also known as the maggot fly undergoes a sympatric speciation.	Langaw na Hawthorn Ang langaw na hawthorn na Rhagoletis pomonella na kilala rin bilang maggot fly ay sumasailalim sa isang sympatric speciation.
Different populations of fly hawthorn eat different fruits.	Ang mga magkakaibang populasyon ng langaw na hawthorn ay kumakain ng mga iba't ibang prutas.
A unique population appeared in North America in the 19th century after apples that were not a native species in North America were introduced here.	Ang isang natatanging populasyon ay lumitaw sa Hilagang Amerika noong ika-19 siglo pagkatapos na ang mansanas na hindi isang katutubong species sa Hilagang Amerika ay ipinakilala rito.
Populations of flies that eat only apples are not eaten in the wild in this species of hawthorns.	Ang mga populasyon ng langaw na kumakain lamang ng mga mansanas ay hindi kumakain ng kinakain sa kasaysyan ng species na ito na mga hawthorn.
The current population eating hawthorn does not eat apples.	Ang kasalukuyang populasyon naman na kumakain ng hawthorn ay hindi kumakain ng mga mansanas.
It often allows the continuation of individuals with a range of features that are good enough to proceed.	Ito ay kadalasang pumapayag sa pagpapatuloy ng mga indibidwal na may isang saklaw ng mga katangian na sapat na mabuti upang makapagpatuloy.
In a constant environment, natural selection keeps a non-changing organism.	Sa isang hindi nagbabagong kapaligiran, ang natural na seleksiyon ay nagpapanatili sa isang organismo na hindi nagbabago.
There are also other mechanisms of evolution that do not cause changes in organism's adaptation.	May iba ring mga mekanismo ng ebolusyon na hindi nagsasanhi ng pagbabagong pag-aangkop ng organismo.
Mutation, migration, and genetic drift can cause populations to evolve in dangerous or non-environmental ways.	Ang mutasyon, migrasyon, at genetic drift ay maaaring magsanhi sa mga populasyon na mag-ebolb sa mga paraang mapanganib o mas hindi angkop sa kapaligiran.
For example, the Afrikaner population has an unusual high gene frequency responsible for Huntington's disease because the gene version is moving to high frequency while the population is growing from a small population.	Halimbawa, ang populasyong Afrikaner ay may hindi karaniwang mataas na prekwensiya ng gene na responsable sa sakit ni Huntington dahil ang bersiyon ng gene ay lumipat sa mataas na prekwensiya habang ang populasyon ay lumalago mula sa isang simulang maliit na populasyon.
Evolution violates the second law of thermodynamics.	Ang ebolusyon ay lumalabag sa ikalawang batas ng termodinamika.
Answer: The claim that evolution violates the law of thermodynamics is based on the misinterpretation of the second law of thermodynamics which states that any separate system will increase its total entropy over time.	Sagot:Ang pag-aangkin na ang ebolusyon ay lumalabag sa batas ng termodinamika ay batay sa maling pagkaunawa ng ikalawang batas ng termodinamika na nagsasaad na ang anumang hiwalay na sistema ay magpapataas ng kabuuang entropiya nito sa paglipas na panahon.
A separate system is described as a system that does not have any input of out-of-energy.	Ang isang hiwalay na sistema ay inilalarawan na sistemang walang anumang input ng labas na enerhiya.
This law applies to the universe because it is a separate system.	Ang batas na ito ay lumalapat sa uniberso dahil isa itong hiwalay na sistema.
However, since the world is not a separate system, the world order can occur and trigger complex organisms as much as inputs of energy such as daylight.	Gayunpaman, dahil sa ang daigdig ay hindi isang hiwalay na sistema, ang kaayusan sa daigdig ay maaaring mangyari at magpalitaw ng mga komplikadong organismo hangga't may input ng enerhiya gaya ng liwanag ng araw.
The process of natural selection that is responsible for such local arrangement increases may be mathematically drawn from the expression of the second law equation for the associated non-equilibrium open systems.	Ang proseso ng natural na seleksiyon na responsable sa gayong lokal na pagtaas ng kaayusan ay maaaring mahango ng matematikal mula sa ekspresyon ng ekwasyon ng ikalawang batas para sa magkaugnay na hindi-ekwilibrium na mga bukas na sistema.
The complicated forms of life have suddenly emerged in the Cambrian explosion.	Ang mga komplikadong anyo ng buhay ay biglaang lumitaw sa pagsabog na Cambrian.
Answer: The so-called Cambrian explosion has apparently emerged by many animal phylaes about 543 million years ago.	Sagot: Ang tinatawag na pagsabog na Cambrian ang tila biglaang paglitaw ng mga maraming mga phyla ng hayop noong mga 543 milyong taon ang nakakalipas.
Current evidence shows that the "explosion" occurred over 20 million years to 40 million years.	Ang kasalukuyang ebidensiya ay nagpapakitang ang "pagsabog" ay nangyari sa loob ng mga 20 milyong taon hanggang 40 milyong taon.
According to scientists, the Cambrian explosion is not a source of complex life in the world.	Ayon sa mga siyentipiko, ang pagsabog na Cambrian ay hindi pinagmulan ng komplikadong buhay sa mundo.
The evidence of multicellular life has emerged in China's previous Doushantuo before Cambrian about 590 to 560 million years ago.	Ang ebidensiya ng buhay multiselular ay lumitaw sa pagkakabuong Doushantuo sa Tsina noong bago ang Cambrian noong mga 590 hanggang 560 milyong taong nakakalipas.
Other fossils appear before 555 million years ago.	Ang mga iba ibang mga fossil ay lumitaw bago ang 555 milyong taong nakakalipas.
According to critics, it is wrong to fit all the phyla of animals to appear in Cambrian.	Ayon sa mga kritiko, mali na angkining ang lahat ng mga phyla ng mga hayop ay lumitaw sa Cambrian.
The molecular evidence shows that at least six animal phylles appeared before the Cambrian period.	Ang molekular na ebidensiya ay nagpapakitang ang hindi bababa sa mga anim na phyla ng hayop ay lumitaw bago ang panahong Cambrian.
The animal body plans that appear in Cambrian also do not include modern animal groups such as starfish, crabs, insects, fishes, lizards and mammals that later appear in fossil record.	Ang mga plano ng katawan ng hayop na lumitaw sa Cambrian ay hindi rin kinabibilangan ng mga modernong pangkat ng mga hayop gaya ng mga starfish, mga talangka, mga insekto, mga isda, mga butiki at mga mammal na kalaunang lumitaw sa fossil record.
The forms of animals that appear in "Cambrian eruptions" are more primitive than these later animals and most of the animals in Cambrian have a soft body.	Ang mga anyo ng hayop na lumitaw sa "pagsabog na Cambrian" ay mas primitibo kesa sa mga kalaunang lumitaw na hayop na ito at ang karamihan sa mga hayop sa Cambrian ay may malalambot na katawan.
The animals that appear in Cambrian are also included with some transitional fossils including Hallucigenia and Anomalocaris.	Ang mga hayop na lumitaw sa Cambrian ay kinabilangan rin ng mga ilang transisyonal na fossil kabilang ang Hallucigenia at Anomalocaris.
Piltdown Man and Nebraska Man are evolutionary frauds.	Ang Piltdown Man at Nebraska Man ay mga pandaraya ng ebolusyon.
Answer: In 1912, Charles Dawson and Arthur Smith Woodward presented the jawbone and a skull they claimed were 500,000 years old.	Sagot: Noong 1912, itinanghal nina Charles Dawson at Arthur Smith Woodward ang buto ng panga at isang bungo na kanilang inangking 500,000 taong gulang.
However, not all scientists have accepted the authenticity of these seeds.	Gayunpaman, hindi lahat ng mga siyentipiko ay tumanggap sa pagiging tunay ng mga butong ito.
After 40 years, it has been proven to be flogged.	Pagkatapos ng 40 taon, ito ay napatunayang pineke.
Although Nebraska is not a deliberate fraud, the original classification is proven wrong.	Bagaman ang Nebraska man ay hindi isang sinadyang pandaraya, ang orihinal na pag-uuri ay napatunayang mali.
Anti-evolutionists claim that Piltdown's fraud is a mistake in the whole of evolution.	Inaangkin ng mga anti-ebolusyonista na ang pagiging pandaraya ng Piltdown man ay nagpapamali sa kabuuan ng ebolusyon.
However Piltdown has never been used evidence for evolution and a fraud does not arouse the actual evidence that exists and is not fraudulent.	Gayunpaman, ang Piltdown man ay hindi kailanmang ginamit na ebidensiya para sa ebolusyon at ang isang pandaraya ay hindi rin nagpapataob sa mga aktuwal na ebidensiya na umiiral at hindi pandaraya.
The Piltdown also serves as a great example of self-correcting properties in science.	Ang Piltdown man ay nagsisilbi ngayong isang mahusay na halimbawa ng mga katangiang pagtutuwid sa sarili ng agham.
Religious views Evolutionism There are religions that believe that evolution does not conflict with their faith.	Mga pananaw panrelihiyon Pagtanggap sa ebolusyon May mga relihiyon na naniniwalang ang ebolusyon ay hindi sumasalungat sa kanilang pananampalataya.
This view is usually called theistic evolution.	Ang pananaw na ito ay karaniwang tinatawag na mga theistic evolution.
