English	Filipino
according to 1 Thessalonians chapter 4.	ayon sa 1 Thessalonians kapitulo 4.
to personally make a choice whether I was.	personal na mamili kung ako ay sasabay na lamang.
It's already December 5!.	ika-lima na ng Disyembre!.
in Christ shall rise first.	kay Kristo ay mauunang babangon.
I wish tomorrow will be December 11.	Sana ika-labing-isa na ng Disyembre bukas.
From 8:00 AM to 5:00 AM.	Simula nang alas otso ng umaga hanggang alas singko ng umaga.
From 6:30 PM to 6:00 PM.	Simula nang alas sais e medya ng hapon hanggang alas sais ng hapon.
beast before him.	hayop sa kaniyang paningin.
Pastor Anderson: This one world government.	Pastor Anderson: Itong gobyerno para sa isang mundo ay magkakaroon ng sobrang laking kapangyarihan na kakayanin na nitong.
I wish tomorrow will be October 10.	Sana ika-sampu na ng Oktubre bukas.
He will write a book until November 19.	Magsusulat siya ng libro hanggang sa ika-labingsiyam ng Nobyembre.
found in scripture.	makikita sa banal na kasulatan.
at the time of Christ or thereabouts because.	nasa panahon ni Kristo o sa mga paligid nun dahil si Juan ay nasa isla ng Patmos.
He will go here on October 15.	Pupunta siya dito sa ika-labinlima ng Oktubre.
And immediately I was in the spirit and.	Pagdakay napasa Espiritu ako: at narito.
He will sell his guitar on September 16.	Ibebenta niya ang kanyang gitara sa ika-labing-anim ng Septyembre.
place before the tribulation.	bago ang kapighatian.
At 7:00 PM, there are eighty tuna at the bus station.	Merong walumpung tuna sa estasyon ng bus kaninang alas siyete ng gabi.
He will go here on December 5.	Pupunta siya dito sa ika-lima ng Disyembre.
(Mark 13:37) And what I say unto you I say.	(Marcos 13:37) At ang sinasabi ko sa inyo ay sinasabi ko sa lahat.
It will be December 30 next week.	ika-tatlumpu na ng Disyembre sa susunod na linggo.
Christianity that believes that Jesus can.	na Kristianismo na naniniwala na si Hesus ay maaaring bumalik sa anumang segundo.
ones again.	sa muli.
Afternoon of September 1.	Hapon ng ika-isa ng Septyembre.
in the Bible.	wala sa Bibliya.
October 7 is Tuesday.	Ang ika-pito ng Oktubre ay Martes.
I wish tomorrow will be November 14.	Sana ika-labing-apat na ng Nobyembre bukas.
It's already October 4!.	ika-apat na ng Oktubre!.
He will sell his guitar on November 15.	Ibebenta niya ang kanyang gitara sa ika-labinlima ng Nobyembre.
It has been thirty-six hours since I have garlic.	tatlumpu't-anim na oras nang akong merong bawang.
It's already November 2!.	ika-dalawa na ng Nobyembre!.
If October 8 is Saturday,.	Kung Sabado ang ika-siyam ng Oktubre,.
Today is December 26.	Ngayon ay ika-dalawampu't anim ng Disyembre.
people come into anyplace.	na mga tao ay dumarating mula kung saan mang lugar.
December 21 is the day of his death.	Sa ika-dalawampu't isa ng Disyembre ang araw ng kanyang kamatayan.
Let’s meet on October 1.	Magkita tayo sa ika-isa ng Oktubre.
It is September 8 when.	ika-siyam ng Septyembre noon nung.
The elect is Israel.	Ang hinirang ay Israel.
He lost his money last October 25.	Nawala niya noong ika-dalawampu't lima ng Oktubre ang kanyang pera.
are alive and remain unto the coming of the.	nangabubuhay.
face of him that sitteth on the throne.	sa mukha noong nakaupo sa luklukan.
Did it rain last October 17.	Umulan ba noong ika-labinpito ng Oktubre.
November 7 will be Sunday because.	Linggo ang ika-pito ng Nobyembre dahil.
I wish tomorrow will be October 4.	Sana ika-apat na ng Oktubre bukas.
He sold his guitar last November 19.	Binenta niya ang kanyang gitara noong ika-labingsiyam ng Nobyembre.
Pastor Anderson: He is speaking to believers.	Pastor Anderson: Siya ay nagsasalita sa mga mananampalataya.
Let’s meet on November 14.	Magkita tayo sa ika-labing-apat ng Nobyembre.
It's already September 7!.	ika-pito na ng Septyembre!.
He's planning to buy a bed before November 16.	Balak niyang bumili ng higaan bago mag ika-labing-anim ng Nobyembre.
Are you going to the grocery later at 7:00 AM.	Pupunta ka ba sa alas siyete ng umaga mamayang tindahan.
Did it rain last November 18.	Umulan ba noong ika-labinwalo ng Nobyembre.
It's already October 14!.	ika-labing-apat na ng Oktubre!.
From 6:00 AM to 10:00 AM.	Simula nang alas sais ng umaga hanggang alas diyes ng umaga.
It is November 15 when.	ika-labinlima ng Nobyembre noon nung.
fell for it.	nahulog na para dito.
Is November 22 Friday.	Biyernes ba sa ika-dalawampu't dalawa ng Nobyembre.
It rained really hard last November 25.	Umulan ng malakas noong ika-dalawampu't lima ng Nobyembre.
Let’s meet on September 17.	Magkita tayo sa ika-labinpito ng Septyembre.
It's already September 16!.	ika-labing-anim na ng Septyembre!.
in the flesh.	sa laman.
I wish tomorrow will be October 26.	Sana ika-dalawampu't anim na ng Oktubre bukas.
(Matthew 24:30) And then shall appear the.	(Mateo 24:30).
He has been winning for twenty-three years at the next bus station.	dalawampu't-tatlong taon na siyang nananalo sa susunod na estasyon ng bus.
It's sunny all month long except last September 11.	Umaraw buong buwan maliban noong ika-labing-isa ng Septyembre.
Yesterday is September 26.	Kahapon ay ika-dalawampu't anim ng Septyembre.
Kent Hovind: Another key verse that got me.	Kent Hovind: Ang isa pang bersikulo na naging susi para ako ay makuha ay ang 2 Tesalonica 2:1-3.
If you are waiting seventy times in seventy hours,.	Kung naghihintay ka ng pitumpung beses sa pitumpung oras,.
to see just how unscriptural it really was.	makita kung gaano ito hindi naaayon sa banal na kasulatan.
September 14 is Monday.	Ang ika-labing-apat ng Septyembre ay Lunes.
Yesterday is September 18.	Kahapon ay ika-labinwalo ng Septyembre.
If November 25 is Saturday,.	Kung Sabado ang ika-dalawampu't lima ng Nobyembre,.
happened for thousands of years.	nangyayari na sa loob ng mga libong taon.
Yesterday is December 5.	Kahapon ay ika-lima ng Disyembre.
Did it rain last December 19.	Umulan ba noong ika-labingsiyam ng Disyembre.
He will write a book until November 26.	Magsusulat siya ng libro hanggang sa ika-dalawampu't anim ng Nobyembre.
just take the pre-tribulation rapture as fact.	tanggapin na lang na isang katotohanan ang destruksyon bago ang kapighatian at nagsimula silang ituro ito.
Is September 8 Friday.	Biyernes ba sa ika-siyam ng Septyembre.
It's sunny all month long except last October 13.	Umaraw buong buwan maliban noong ika-labintatlo ng Oktubre.
Are you going to the domestic airport later at 8:30 PM.	Pupunta ka ba sa alas otso e medya ng gabi mamayang paliparang lokal.
illegal.	iligal.
I lost my sixty younger sister at 8:30 PM.	Nawala ko ang aking animnapung kapatid na babae noong alas otso e medya ng gabi.
November 5 is Wednesday.	Ang ika-lima ng Nobyembre ay Miyerkules.
September 3 is the day of his death.	Sa ika-tatlo ng Septyembre ang araw ng kanyang kamatayan.
Go here on November 7.	Pumunta ka dito sa ika-pito ng Nobyembre.
Tomorrow will be September 28.	ika-dalawampu't walo ng Septyembre bukas.
Bible If you look up every single verse that.	Bibliya Kapag tinignan ang bawat bersikulo na gumagamit ng salitang kapighatian.
At 11:00 AM, there are sixty son at the city centre.	Merong animnapung anak na lalaki sa sentro ng syudad kaninang alas onse ng umaga.
From 1:00 AM to 7:30 PM.	Simula nang ala una ng umaga hanggang alas siyete e medya ng gabi.
He sold his guitar last December 11.	Binenta niya ang kanyang gitara noong ika-labing-isa ng Disyembre.
It is September 22 when.	ika-dalawampu't dalawa ng Septyembre noon nung.
and suppose they said.	at paano kung kanilang sasabihin.
tribulations like every believer does.	kapighatian tulad ng dinadanas ng bawat mananampalataya.
of those 22 verses.	ang isa sa mga 22 na bersikulong yon.
different plagues.	ibat-ibang mga salot.
He sold his guitar last September 20.	Binenta niya ang kanyang gitara noong ika-dalawampu ng Septyembre.
Today is December 8.	Ngayon ay ika-siyam ng Disyembre.
shall all the tribes of the earth mourn.	mananangis ang lahat ng bansa.
be inoculated against more.	mabakuna laban sa mas marami pa.
December 8 is Wednesday.	Ang ika-siyam ng Disyembre ay Miyerkules.
Afternoon of November 22.	Hapon ng ika-dalawampu't dalawa ng Nobyembre.
It's sunny all month long except last November 29.	Umaraw buong buwan maliban noong ika-dalawampu't siyam ng Nobyembre.
He's planning to buy a bed before November 10.	Balak niyang bumili ng higaan bago mag ika-sampu ng Nobyembre.
It's already November 8!.	ika-siyam na ng Nobyembre!.
If October 5 is Saturday,.	Kung Sabado ang ika-lima ng Oktubre,.
Pastor Anderson: So here this man is demanding.	Pastor Anderson: Kaya dito ang lalaki ay humihingi ng pagsamba.
Did it rain last September 12.	Umulan ba noong ika-labindalawa ng Septyembre.
Bible says.	sabi ng Bibliya.
Revelation 13.	Rebelasyon 13.
It's already October 6!.	ika-anim na ng Oktubre!.
If September 17 is Saturday,.	Kung Sabado ang ika-labinpito ng Septyembre,.
Did it rain last September 13.	Umulan ba noong ika-labintatlo ng Septyembre.
They fought last September 28 because of money.	Nag-away sila noong ika-dalawampu't walo ng Septyembre dahil sa pera.
And they will point at all the things that.	At ituturo nila ang lahat ng bagay na nagaganap ngayon sa ating lipunan at isasalamin.
Pastor Anderson: So the Bible says.	Pastor Anderson: Kaya ang sabi ng Bibliya.
November 27 is Tuesday.	Ang ika-dalawampu't pito ng Nobyembre ay Martes.
It has been thirty-three years since I have duck.	tatlumpu't-tatlong taon nang akong merong karne ng pato.
Noon of November 5.	Tanghali ng ika-lima ng Nobyembre.
December 16 will be Sunday because.	Linggo ang ika-labing-anim ng Disyembre dahil.
From 9:00 PM to 1:00 PM.	Simula nang alas nuwebe ng gabi hanggang ala una ng hapon.
He's planning to buy a bed before October 3.	Balak niyang bumili ng higaan bago mag ika-tatlo ng Oktubre.
It's sunny all month long except last December 16.	Umaraw buong buwan maliban noong ika-labing-anim ng Disyembre.
October 29 is Wednesday.	Ang ika-dalawampu't siyam ng Oktubre ay Miyerkules.
He's planning to buy a bed before October 1.	Balak niyang bumili ng higaan bago mag ika-isa ng Oktubre.
It's sunny all month long except last October 20.	Umaraw buong buwan maliban noong ika-dalawampu ng Oktubre.
Morning of October 10.	Umaga ng ika-sampu ng Oktubre.
They fought last November 2 because of money.	Nag-away sila noong ika-dalawa ng Nobyembre dahil sa pera.
They fought last October 25 because of money.	Nag-away sila noong ika-dalawampu't lima ng Oktubre dahil sa pera.
September 23 is Monday.	Ang ika-dalawampu't tatlo ng Septyembre ay Lunes.
and says.	at magsasabing.
He's planning to buy a bed before October 2.	Balak niyang bumili ng higaan bago mag ika-dalawa ng Oktubre.
It is December 18 when.	ika-labinwalo ng Disyembre noon nung.
It has been fifty hours since I have phone.	limampung oras nang akong merong telepono.
He sold his guitar last October 2.	Binenta niya ang kanyang gitara noong ika-dalawa ng Oktubre.
worse than lying.	na masa masahol pa sa pagsisinungaling.
Pastor Anderson: So this man that's called.	Pastor Anderson: Kaya ang lalaking tatawagin na hayop.
Pastor Anderson: Is that first mention singular.	Pastor Anderson: Yun bang unang banggit ay pang-isahan o pang-maramihan Kung gayon ay narinig na nila ang antikristo.
October 5 is Monday.	Ang ika-lima ng Oktubre ay Lunes.
It has been twenty-four years since I have dentist.	dalawampu't-apat na taon nang akong merong dentista.
are not in order! And that's the country.	mo ay wala sa kaayusan! At iyan na ang bansang tinitirhan natin sa ngayon.
Festival will only last until September 17.	Hanggang sa ika-labinpito nalang ng Septyembre ang piyesta.
He will sell his guitar on November 7.	Ibebenta niya ang kanyang gitara sa ika-pito ng Nobyembre.
He lost his money last November 11.	Nawala niya noong ika-labing-isa ng Nobyembre ang kanyang pera.
(Revelation 13:7-8) And it was given unto.	(Rebelasyon 13:7-8) AAt ipinagkaloob sa kaniya na makipagbaka sa mga banal.
he only has a little bit of time.	na kaunti na lang ang oras niya.
He's planning to buy a bed before December 12.	Balak niyang bumili ng higaan bago mag ika-labindalawa ng Disyembre.
Go here on November 20.	Pumunta ka dito sa ika-dalawampu ng Nobyembre.
He has been running for forty-two days at the nearest shopping mall.	apatnapu't-dalawang araw na siyang tumatakbo sa pinakamalapit na mall.
He will go here on December 20.	Pupunta siya dito sa ika-dalawampu ng Disyembre.
He will sell his guitar on October 19.	Ibebenta niya ang kanyang gitara sa ika-labingsiyam ng Oktubre.
September 4 is the day of his death.	Sa ika-apat ng Septyembre ang araw ng kanyang kamatayan.
If it's not yet November 5,.	Kung hindi pa ika-lima ng Nobyembre,.
figured this stuff out on my own with all.	maiisip ang mga bagay na ito na mag-isa sa kabila ng mga brainwashing na aking natanggap mula sa mga taong.
November 7 is Wednesday.	Ang ika-pito ng Nobyembre ay Miyerkules.
Are you going to the cinema later at 5:00 AM.	Pupunta ka ba sa alas singko ng umaga mamayang sinehan.
Noon of October 13.	Tanghali ng ika-labintatlo ng Oktubre.
He's planning to buy a bed before November 22.	Balak niyang bumili ng higaan bago mag ika-dalawampu't dalawa ng Nobyembre.
He has been standing for nineteen days at the next bus station.	labing-siyam na araw na siyang tumatayo sa susunod na estasyon ng bus.
wrong on something.	mali sa isang bagay.
Let’s meet on October 19.	Magkita tayo sa ika-labingsiyam ng Oktubre.
Festival will only last until September 26.	Hanggang sa ika-dalawampu't anim nalang ng Septyembre ang piyesta.
October 8 is the day of his death.	Sa ika-siyam ng Oktubre ang araw ng kanyang kamatayan.
had done it.	ang gumawa nito.
He will write a book until November 6.	Magsusulat siya ng libro hanggang sa ika-anim ng Nobyembre.
is the new embodiment of the Dalai Lama.	ay isang bagong paglalangkap ng Dalai Lama.
He has been waiting for forty minutes at the domestic airport.	apatnapung minuto na siyang naghihintay sa paliparang lokal.
prison.	bilangguan.
The United States of America was.	Ang Estados Unidos ng Amerika ay.
Today is December 1.	Ngayon ay ika-isa ng Disyembre.
It is December 25 when.	ika-dalawampu't lima ng Disyembre noon nung.
He has been eating for seven minutes at the next subway station.	pitong minuto na siyang kumakain sa susunod na estasyon ng subway.
It rained really hard last October 16.	Umulan ng malakas noong ika-labing-anim ng Oktubre.
Are you going to the next bus station later at 7:00 PM.	Pupunta ka ba sa alas siyete ng gabi mamayang susunod na estasyon ng bus.
I just took it for what it was worth.	at ako ay naniwala lamang sa kung ano ang kahalagahan nito.
Yesterday is October 24.	Kahapon ay ika-dalawampu't apat ng Oktubre.
If it's not yet November 17,.	Kung hindi pa ika-labinpito ng Nobyembre,.
He will write a book until September 24.	Magsusulat siya ng libro hanggang sa ika-dalawampu't apat ng Septyembre.
Go here on December 13.	Pumunta ka dito sa ika-labintatlo ng Disyembre.
October 8 will be Sunday because.	Linggo ang ika-siyam ng Oktubre dahil.
They fought last September 26 because of money.	Nag-away sila noong ika-dalawampu't anim ng Septyembre dahil sa pera.
If it's not yet November 14,.	Kung hindi pa ika-labing-apat ng Nobyembre,.
If you are waiting thirty-one times in thirty-one months,.	Kung naghihintay ka ng tatlumpu't-isang beses sa tatlumpu't-isang buwan,.
I lost my forty ham at 10:00 AM.	Nawala ko ang aking apatnapung hamon noong alas diyes ng umaga.
News Lady: Experts say that biometrics are.	Babaing Nagbabalita: Sabi ng mga eksperto na ang biometrics ay malapit nang lumaganap.
He has been smiling for twenty-one hours at the bus station.	dalawampu't-isang oras na siyang nakangiti sa estasyon ng bus.
He will sell his guitar on November 5.	Ibebenta niya ang kanyang gitara sa ika-lima ng Nobyembre.
September 7 will be Sunday because.	Linggo ang ika-pito ng Septyembre dahil.
September 16 is Thursday.	Ang ika-labing-anim ng Septyembre ay Huwebes.
Matthew 24 is not about the rapture.	ang Mateo 24 ay hindi tungkol sa destruksyon.
He's planning to buy a bed before October 10.	Balak niyang bumili ng higaan bago mag ika-sampu ng Oktubre.
It has been thirty-three months since I have silver.	tatlumpu't-tatlong buwan nang akong merong pilak.
If December 16 is Saturday,.	Kung Sabado ang ika-labing-anim ng Disyembre,.
September 8 is Monday.	Ang ika-siyam ng Septyembre ay Lunes.
He will go here on September 22.	Pupunta siya dito sa ika-dalawampu't dalawa ng Septyembre.
If November 29 is Saturday,.	Kung Sabado ang ika-dalawampu't siyam ng Nobyembre,.
Today is November 19.	Ngayon ay ika-labingsiyam ng Nobyembre.
to make war with the believers.	na makipag-digmaan sa mga mananampalataya.
October 22 is the day of his death.	Sa ika-dalawampu't dalawa ng Oktubre ang araw ng kanyang kamatayan.
If it's not yet November 23,.	Kung hindi pa ika-dalawampu't tatlo ng Nobyembre,.
They fought last October 27 because of money.	Nag-away sila noong ika-dalawampu't pito ng Oktubre dahil sa pera.
He's planning to buy a bed before November 3.	Balak niyang bumili ng higaan bago mag ika-tatlo ng Nobyembre.
It is well.	Maayos ang aking kaluluwa.
It will be September 23 next week.	ika-dalawampu't tatlo na ng Septyembre sa susunod na linggo.
If September 23 is Saturday,.	Kung Sabado ang ika-dalawampu't tatlo ng Septyembre,.
given complete freedom to gather together.	nabigyan ng kalayaang magtipon-tipon.
If it's not yet September 29,.	Kung hindi pa ika-dalawampu't siyam ng Septyembre,.
with his medical records in case something.	sa kanyang mga medikal record kung sakaling may mangyari.
Go here on September 22.	Pumunta ka dito sa ika-dalawampu't dalawa ng Septyembre.
News Lady: In medical news tonight.	Babaing Nagbabalita: Sa balitang medical ngayong gabi.
It is covered by all four.	Ito ay natalakay ng lahat ng apat.
September 29 will be Sunday because.	Linggo ang ika-dalawampu't siyam ng Septyembre dahil.
I lost my thirty-four pepper at 12:00 PM.	Nawala ko ang aking tatlumpu't-apat na paminta noong Alas dose ng tanghali.
I wish tomorrow will be December 14.	Sana ika-labing-apat na ng Disyembre bukas.
If October 21 is Saturday,.	Kung Sabado ang ika-dalawampu't isa ng Oktubre,.
have gone through tribulation.	ay dumaan sa kapighatian.
He's planning to buy a bed before October 17.	Balak niyang bumili ng higaan bago mag ika-labinpito ng Oktubre.
Are you going to the next bus station later at 2:00 AM.	Pupunta ka ba sa alas dos ng umaga mamayang susunod na estasyon ng bus.
Afternoon of October 30.	Hapon ng ika-tatlumpu ng Oktubre.
November 19 is Monday.	Ang ika-labingsiyam ng Nobyembre ay Lunes.
They fought last October 23 because of money.	Nag-away sila noong ika-dalawampu't tatlo ng Oktubre dahil sa pera.
Go here on November 21.	Pumunta ka dito sa ika-dalawampu't isa ng Nobyembre.
October 13 is Thursday.	Ang ika-labintatlo ng Oktubre ay Huwebes.
He will write a book until December 16.	Magsusulat siya ng libro hanggang sa ika-labing-anim ng Disyembre.
Is September 30 Friday.	Biyernes ba sa ika-tatlumpu ng Septyembre.
Morning of December 25.	Umaga ng ika-dalawampu't lima ng Disyembre.
Today is October 6.	Ngayon ay ika-anim ng Oktubre.
Are you going to the next post office later at 7:00 PM.	Pupunta ka ba sa alas siyete ng gabi mamayang susunod na padalahan ng sulat.
Let’s meet on November 19.	Magkita tayo sa ika-labingsiyam ng Nobyembre.
It has been forty-five days since I have sugar.	apatnapu't-limang araw nang akong merong asukal.
It's sunny all month long except last October 23.	Umaraw buong buwan maliban noong ika-dalawampu't tatlo ng Oktubre.
October 23 is Wednesday.	Ang ika-dalawampu't tatlo ng Oktubre ay Miyerkules.
December 5 is Tuesday.	Ang ika-lima ng Disyembre ay Martes.
Pastor Jimenez: You say.	Pastor Jimenez: sasabihin ninyo.
If it's not yet September 21,.	Kung hindi pa ika-dalawampu't isa ng Septyembre,.
are really going to happen.	ay tunay na mangyayayri .
He's planning to buy a bed before October 7.	Balak niyang bumili ng higaan bago mag ika-pito ng Oktubre.
At 11:00 PM, there are twenty-three mussels at the city centre.	Merong dalawampu't-tatlong tahong sa sentro ng syudad kaninang alas onse ng gabi.
It rained really hard last November 24.	Umulan ng malakas noong ika-dalawampu't apat ng Nobyembre.
If it's not yet October 26,.	Kung hindi pa ika-dalawampu't anim ng Oktubre,.
September 18 is Monday.	Ang ika-labinwalo ng Septyembre ay Lunes.
From 11:30 PM to 6:30 PM.	Simula nang alas onse trenta ng tanghali hanggang alas sais e medya ng hapon.
the believers of all the ages being caught.	ng mga mananampalataya ay makakasama niya sa ulap.
November 30 is Wednesday.	Ang ika-tatlumpu ng Nobyembre ay Miyerkules.
At 12:00 PM, there are fourteen younger sister at the grocery.	Merong labing-apat na kapatid na babae sa tindahan kaninang alas dose ng madaling araw.
Tomorrow will be September 18.	ika-labinwalo ng Septyembre bukas.
It has been forty-nine hours since I have cotton.	apatnapu't-siyam na oras nang akong merong bulak.
Afternoon of September 23.	Hapon ng ika-dalawampu't tatlo ng Septyembre.
Pastor Jimenez: This is my favorite song.	Pastor Jimenez: Ito ang aking paboritong awit.
gas stations - even Walt Disney World uses.	mga gasolinahan - kahit ang Walt Disney World ay gumagamit ng teknolohiya na nababasa ang ugat ng dugo ng kanilang mga bisita.
It is November 10 when.	ika-sampu ng Nobyembre noon nung.
ACLU guy: It scares the heck out of me.	Lalaking taga ACLU: Tinatakot ako nito ng husto.
I wish tomorrow will be November 16.	Sana ika-labing-anim na ng Nobyembre bukas.
If October 11 is Saturday,.	Kung Sabado ang ika-labing-isa ng Oktubre,.
Morning of September 27.	Umaga ng ika-dalawampu't pito ng Septyembre.
If September 11 is Saturday,.	Kung Sabado ang ika-labing-isa ng Septyembre,.
He's planning to buy a bed before October 21.	Balak niyang bumili ng higaan bago mag ika-dalawampu't isa ng Oktubre.
Morning of November 3.	Umaga ng ika-tatlo ng Nobyembre.
He will sell his guitar on October 27.	Ibebenta niya ang kanyang gitara sa ika-dalawampu't pito ng Oktubre.
Tomorrow will be September 25.	ika-dalawampu't lima ng Septyembre bukas.
Did it rain last November 24.	Umulan ba noong ika-dalawampu't apat ng Nobyembre.
He's planning to buy a bed before November 17.	Balak niyang bumili ng higaan bago mag ika-labinpito ng Nobyembre.
It rained really hard last December 11.	Umulan ng malakas noong ika-labing-isa ng Disyembre.
Did it rain last November 23.	Umulan ba noong ika-dalawampu't tatlo ng Nobyembre.
Yesterday is October 26.	Kahapon ay ika-dalawampu't anim ng Oktubre.
He's planning to buy a bed before September 19.	Balak niyang bumili ng higaan bago mag ika-labingsiyam ng Septyembre.
Afternoon of September 28.	Hapon ng ika-dalawampu't walo ng Septyembre.
He has been smiling for eighteen months at the next ATM.	labing-walong buwan na siyang nakangiti sa susunod na ATM.
Today is October 13.	Ngayon ay ika-labintatlo ng Oktubre.
I lost my twenty-five ham at 4:00 PM.	Nawala ko ang aking dalawampu't-limang hamon noong alas kwatro ng hapon.
He will sell his guitar on September 23.	Ibebenta niya ang kanyang gitara sa ika-dalawampu't tatlo ng Septyembre.
If November 11 is Saturday,.	Kung Sabado ang ika-labing-isa ng Nobyembre,.
It's already November 26!.	ika-dalawampu't anim na ng Nobyembre!.
Man is something that Jesus called himself.	Tao ang tawag ni Hesus sa kanyang sarili noong Siya ay nasa lupa] dumarating.
November 12 will be Sunday because.	Linggo ang ika-labindalawa ng Nobyembre dahil.
He lost his money last December 18.	Nawala niya noong ika-labinwalo ng Disyembre ang kanyang pera.
At 11:00 AM, there are twenty-one wool at the shoe shop.	Merong dalawampu't-isang lana sa pagawaan ng sapatos kaninang alas onse ng umaga.
Yesterday is October 25.	Kahapon ay ika-dalawampu't lima ng Oktubre.
Festival will only last until December 14.	Hanggang sa ika-labing-apat nalang ng Disyembre ang piyesta.
At 8:00 PM, there are twenty-eight tuna at the cinema.	Merong dalawampu't-walong tuna sa sinehan kaninang alas otso ng gabi.
They fought last October 17 because of money.	Nag-away sila noong ika-labinpito ng Oktubre dahil sa pera.
It's sunny all month long except last October 22.	Umaraw buong buwan maliban noong ika-dalawampu't dalawa ng Oktubre.
Pastor Jimenez: What we learn from this passage.	Pastor Jimenez: Ang ating natutunan sa siping ito ay ang katotohanan na nung si Lot ay inalis.
He sold his guitar last October 5.	Binenta niya ang kanyang gitara noong ika-lima ng Oktubre.
He lost his money last December 13.	Nawala niya noong ika-labintatlo ng Disyembre ang kanyang pera.
why I wanted to just explain to you in a nutshell.	kaya nais kong ipaliwanag sa inyo sa isang maikling salita - nais kong bigyan kayo ng isa lamang maikling pagkasunod-sunod.
the word wrath.	ng salitang poot.
He will go here on November 24.	Pupunta siya dito sa ika-dalawampu't apat ng Nobyembre.
From 12:00 PM to 12:30 PM.	Simula nang Alas dose ng tanghali hanggang Alas dose e medya ng hapon.
show THEE things which must be hereafter.	ipakikita ko sa iyo ang TATLONG mga bagay na dapat mangyari sa haharapin.
They fought last September 18 because of money.	Nag-away sila noong ika-labinwalo ng Septyembre dahil sa pera.
November 1 is Thursday.	Ang ika-isa ng Nobyembre ay Huwebes.
December 17 is Tuesday.	Ang ika-labinpito ng Disyembre ay Martes.
If it's not yet December 5,.	Kung hindi pa ika-lima ng Disyembre,.
Harvard Doctor: Its like putting a knitting.	Doktor sa Harvard: Ito ay parang naglalagay ng karayom na pang-knitting sa ilalim ng inyong balat.
Tomorrow will be December 25.	ika-dalawampu't lima ng Disyembre bukas.
He lost his money last November 6.	Nawala niya noong ika-anim ng Nobyembre ang kanyang pera.
Did it rain last December 25.	Umulan ba noong ika-dalawampu't lima ng Disyembre.
Are you going to the nearest shopping mall later at 1:00 AM.	Pupunta ka ba sa ala una ng umaga mamayang pinakamalapit na mall.
(John 16:33) These things I have spoken unto.	(Juan 16:33) Ang mga bagay na ito ay sinalita ko sa inyo.
Festival will only last until December 16.	Hanggang sa ika-labing-anim nalang ng Disyembre ang piyesta.
up to be with him.	pataas para makasama niya.
Tomorrow will be November 5.	ika-lima ng Nobyembre bukas.
Morning of November 25.	Umaga ng ika-dalawampu't lima ng Nobyembre.
If you are sitting forty times in forty hours,.	Kung umuupo ka ng apatnapung beses sa apatnapung oras,.
He will go here on October 5.	Pupunta siya dito sa ika-lima ng Oktubre.
I lost my eight hair spray at 5:00 PM.	Nawala ko ang aking walong spray sa buhok noong alas singko ng hapon.
September 11 is Thursday.	Ang ika-labing-isa ng Septyembre ay Huwebes.
are all separate.	ay magkakahiwalay.
At 11:00 PM, there are four shellfish at the domestic airport.	Merong apat na kabibe sa paliparang lokal kaninang alas onse ng gabi.
Today is September 12.	Ngayon ay ika-labindalawa ng Septyembre.
They fought last December 22 because of money.	Nag-away sila noong ika-dalawampu't dalawa ng Disyembre dahil sa pera.
It has been forty-one hours since I have badminton.	apatnapu't-isang oras nang akong merong badminton.
Afternoon of September 14.	Hapon ng ika-labing-apat ng Septyembre.
From 8:30 PM to 4:00 AM.	Simula nang alas otso e medya ng gabi hanggang alas kwatro ng umaga.
It's sunny all month long except last September 18.	Umaraw buong buwan maliban noong ika-labinwalo ng Septyembre.
If it's not yet November 15,.	Kung hindi pa ika-labinlima ng Nobyembre,.
once again because the Bible says that when.	muli dahil ang sabi sa Bibliya na sa pagbalik ni Hesukristo.
It's already November 12!.	ika-labindalawa na ng Nobyembre!.
It's already September 1!.	Ika-isa na ng Septyembre!.
November 16 is Tuesday.	Ang ika-labing-anim ng Nobyembre ay Martes.
I lost my forty-eight gelatine at 11:00 PM.	Nawala ko ang aking apatnapu't-walong gulaman noong alas onse ng gabi.
It rained really hard last December 1.	Umulan ng malakas noong ika-isa ng Disyembre.
It's already December 4!.	ika-apat na ng Disyembre!.
It's sunny all month long except last October 8.	Umaraw buong buwan maliban noong ika-siyam ng Oktubre.
happens.	ay magaganap.
Noon of December 23.	Tanghali ng ika-dalawampu't tatlo ng Disyembre.
It will be December 1 next week.	Ika-isa na ng Disyembre sa susunod na linggo.
He sold his guitar last December 10.	Binenta niya ang kanyang gitara noong ika-sampu ng Disyembre.
At 8:00 AM, there are sixteen strawberries at the domestic airport.	Merong labing-anim na mga strawberry sa paliparang lokal kaninang alas otso ng umaga.
Let’s meet on September 25.	Magkita tayo sa ika-dalawampu't lima ng Septyembre.
Today is December 2.	Ngayon ay ika-dalawa ng Disyembre.
It's sunny all month long except last November 14.	Umaraw buong buwan maliban noong ika-labing-apat ng Nobyembre.
Afternoon of October 25.	Hapon ng ika-dalawampu't lima ng Oktubre.
Tomorrow will be October 22.	ika-dalawampu't dalawa ng Oktubre bukas.
If September 7 is Saturday,.	Kung Sabado ang ika-pito ng Septyembre,.
Go here on December 14.	Pumunta ka dito sa ika-labing-apat ng Disyembre.
Yesterday is September 3.	Kahapon ay ika-tatlo ng Septyembre.
It's sunny all month long except last October 27.	Umaraw buong buwan maliban noong ika-dalawampu't pito ng Oktubre.
